Transaction_ID,Account_ID,Date,Amount,Transaction_Type,Mode,Location,Channel,Is_Fraudulent
T00086,A00371,2024-07-04,94574,Debit,UPI,Bengaluru,ATM,No
T00087,A00327,2024-12-25,51635,Debit,UPI,Delhi,Internet Banking,Yes
T00088,A00258,2025-01-09,107387,Credit,ATM,Delhi,POS,No
T00089,A00583,2025-05-28,142628,Debit,Net Banking,Mumbai,Internet Banking,Yes
T00090,A00075,2025-01-09,153032,Debit,ATM,Hyderabad,Mobile App,Yes
T00091,A00179,2025-01-27,8272,Credit,Net Banking,Kolkata,Internet Banking,No
T00092,A00069,2025-05-09,2715,Credit,ATM,Kolkata,ATM,Yes
T00093,A00378,2024-07-02,88957,Debit,Net Banking,Bengaluru,Internet Banking,No
T00094,A00089,2025-02-21,121956,Credit,UPI,Chennai,ATM,No
T00095,A00439,2025-06-07,124827,Credit,Card,Kolkata,Mobile App,No
T00096,A00275,2025-01-07,158674,Credit,ATM,Mumbai,POS,Yes
T00097,A00074,2024-09-30,82148,Credit,Card,Chennai,Internet Banking,Yes
T00098,A00080,2024-09-22,7970,Debit,Card,Chennai,Internet Banking,Yes
T00099,A00580,2025-02-13,15810,Credit,Net Banking,Bengaluru,Mobile App,Yes
T00100,A00351,2025-03-13,25208,Debit,Net Banking,Delhi,Internet Banking,Yes
T00101,A00338,2024-12-31,129843,Credit,ATM,Delhi,Mobile App,Yes
T00102,A00439,2024-12-23,63904,Credit,ATM,Hyderabad,ATM,Yes
T00103,A00279,2024-12-06,35898,Debit,ATM,Kolkata,POS,Yes
T00104,A00018,2024-12-18,87535,Credit,Card,Chennai,Internet Banking,No
T00105,A00584,2024-07-30,147709,Credit,UPI,Chennai,Internet Banking,Yes
T00106,A00094,2025-02-18,3330,Debit,Card,Delhi,Mobile App,No
T00107,A00591,2025-02-18,6914,Credit,UPI,Hyderabad,POS,No
T00108,A00385,2024-07-02,121051,Debit,UPI,Hyderabad,POS,No
T00109,A00217,2024-10-03,56772,Debit,Net Banking,Bengaluru,Internet Banking,No
T00110,A00329,2025-06-07,161406,Credit,Card,Bengaluru,ATM,Yes
T00111,A00462,2025-01-28,121073,Debit,UPI,Delhi,ATM,Yes
T00112,A00561,2024-10-16,23555,Credit,Net Banking,Hyderabad,ATM,No
T00113,A00509,2025-02-25,49778,Debit,Card,Kolkata,Mobile App,Yes
T00114,A00367,2025-03-01,197398,Debit,Card,Chennai,ATM,No
T00115,A00190,2025-02-01,9172,Credit,UPI,Hyderabad,Internet Banking,Yes
T00116,A00062,2025-05-14,171633,Credit,Net Banking,Bengaluru,Mobile App,No
T00117,A00489,2025-05-16,118450,Debit,Card,Chennai,Mobile App,Yes
T00118,A00001,2024-09-18,45100,Credit,Card,Mumbai,Mobile App,Yes
T00119,A00141,2024-07-18,42107,Credit,Card,Bengaluru,ATM,Yes
T00120,A00019,2024-09-09,24616,Debit,ATM,Mumbai,Mobile App,No
T00121,A00260,2024-08-26,28714,Debit,ATM,Hyderabad,Internet Banking,Yes
T00122,A00173,2024-07-21,53628,Debit,Net Banking,Bengaluru,POS,No
T00123,A00446,2025-03-10,141798,Debit,Net Banking,Bengaluru,ATM,No
T00124,A00163,2024-11-12,99891,Debit,Net Banking,Mumbai,Internet Banking,No
T00125,A00016,2024-07-14,148570,Credit,UPI,Bengaluru,ATM,Yes
T00126,A00073,2024-08-25,10915,Debit,Card,Hyderabad,ATM,Yes
T00127,A00509,2025-05-27,194937,Debit,ATM,Mumbai,Internet Banking,Yes
T00128,A00099,2024-07-12,133614,Credit,Net Banking,Chennai,ATM,Yes
T00129,A00140,2025-03-16,123992,Credit,Net Banking,Delhi,Mobile App,Yes
T00130,A00092,2025-02-09,19910,Debit,UPI,Chennai,Internet Banking,No
T00131,A00154,2025-05-21,171826,Credit,Card,Bengaluru,POS,No
T00132,A00315,2025-02-19,102296,Credit,Card,Kolkata,ATM,No
T00133,A00076,2024-10-23,130022,Debit,Card,Kolkata,Mobile App,No
T00134,A00207,2024-11-05,37464,Debit,ATM,Delhi,Mobile App,Yes
T00135,A00586,2025-06-22,48763,Debit,UPI,Hyderabad,ATM,No
T00136,A00250,2024-08-03,31544,Credit,Card,Mumbai,Mobile App,Yes
T00137,A00441,2024-07-19,6640,Credit,ATM,Mumbai,Internet Banking,No
T00138,A00414,2024-08-11,66654,Credit,Card,Kolkata,ATM,Yes
T00139,A00474,2024-12-08,82993,Credit,Net Banking,Delhi,POS,No
T00140,A00545,2024-09-07,186207,Debit,Net Banking,Bengaluru,ATM,Yes
T00141,A00581,2024-08-31,73324,Debit,Card,Delhi,Internet Banking,No
T00142,A00465,2025-03-18,194999,Credit,UPI,Chennai,Mobile App,No
T00143,A00416,2024-10-18,106927,Debit,UPI,Delhi,Mobile App,No
T00144,A00038,2025-02-22,29427,Credit,Card,Chennai,Internet Banking,No
T00145,A00580,2025-03-13,130117,Credit,ATM,Mumbai,POS,No
T00146,A00536,2025-03-25,29187,Credit,ATM,Hyderabad,Mobile App,No
T00147,A00486,2025-03-28,149385,Credit,Card,Kolkata,ATM,Yes
T00148,A00221,2025-02-16,43926,Credit,Net Banking,Kolkata,ATM,Yes
T00149,A00076,2025-02-07,143534,Credit,UPI,Delhi,Mobile App,Yes
T00150,A00169,2025-05-01,18031,Debit,Net Banking,Hyderabad,Internet Banking,Yes
T00151,A00437,2025-02-03,124346,Credit,UPI,Kolkata,Internet Banking,No
T00152,A00503,2024-09-06,1748,Debit,Card,Delhi,Internet Banking,Yes
T00153,A00496,2024-12-23,119319,Credit,UPI,Chennai,ATM,No
T00154,A00237,2025-04-17,67427,Credit,Card,Bengaluru,Mobile App,No
T00155,A00082,2025-02-09,80419,Debit,Card,Bengaluru,Mobile App,Yes
T00156,A00190,2024-11-16,64293,Debit,Net Banking,Hyderabad,Internet Banking,Yes
T00157,A00136,2025-06-26,106808,Credit,ATM,Bengaluru,ATM,Yes
T00158,A00449,2024-07-13,14201,Credit,ATM,Hyderabad,Mobile App,No
T00159,A00399,2024-08-05,38032,Debit,ATM,Hyderabad,ATM,Yes
T00160,A00029,2025-04-24,59235,Credit,ATM,Hyderabad,Mobile App,No
T00161,A00472,2024-10-24,199218,Credit,UPI,Mumbai,Internet Banking,Yes
T00162,A00348,2024-11-02,79145,Credit,Net Banking,Delhi,Internet Banking,No
T00163,A00591,2024-11-20,76943,Debit,UPI,Chennai,Mobile App,No
T00164,A00544,2025-06-13,34636,Credit,Card,Mumbai,POS,Yes
T00165,A00548,2024-11-24,48247,Debit,UPI,Mumbai,POS,Yes
T00166,A00487,2025-05-14,94614,Debit,UPI,Kolkata,Mobile App,Yes
T00167,A00558,2024-07-26,37907,Credit,UPI,Delhi,Mobile App,Yes
T00168,A00431,2025-04-20,24438,Debit,ATM,Bengaluru,Mobile App,Yes
T00169,A00361,2024-12-12,169955,Debit,Net Banking,Chennai,POS,Yes
T00170,A00243,2025-05-23,104252,Credit,UPI,Bengaluru,Internet Banking,No
T00171,A00213,2025-01-29,4136,Debit,Card,Mumbai,Internet Banking,No
T00172,A00586,2024-07-25,37867,Debit,Net Banking,Bengaluru,Internet Banking,Yes
T00173,A00317,2024-10-21,89837,Debit,UPI,Mumbai,Internet Banking,No
T00174,A00208,2024-12-29,47570,Credit,Card,Hyderabad,POS,Yes
T00175,A00119,2024-08-21,56375,Debit,UPI,Delhi,POS,Yes
T00176,A00094,2024-08-16,154165,Credit,UPI,Hyderabad,POS,No
T00177,A00392,2025-03-26,70846,Credit,Card,Hyderabad,ATM,Yes
T00178,A00337,2025-05-29,198104,Credit,Net Banking,Hyderabad,Internet Banking,No
T00179,A00317,2024-10-14,21669,Credit,ATM,Mumbai,Internet Banking,Yes
T00180,A00193,2024-11-04,37302,Debit,ATM,Bengaluru,Internet Banking,Yes
T00181,A00032,2025-01-20,192138,Credit,ATM,Bengaluru,Mobile App,No
T00182,A00525,2024-12-07,174247,Debit,Net Banking,Mumbai,ATM,No
T00183,A00593,2025-01-19,191576,Debit,UPI,Hyderabad,Mobile App,Yes
T00184,A00343,2024-09-19,4561,Credit,UPI,Delhi,ATM,Yes
T00185,A00187,2025-03-27,153019,Credit,ATM,Chennai,POS,Yes
T00186,A00239,2024-09-19,71297,Credit,UPI,Mumbai,Internet Banking,Yes
T00187,A00128,2025-02-22,80077,Credit,ATM,Bengaluru,Internet Banking,No
T00188,A00149,2024-07-22,194586,Debit,UPI,Delhi,ATM,No
T00189,A00047,2024-08-11,117036,Credit,UPI,Bengaluru,Mobile App,Yes
T00190,A00163,2025-02-06,124476,Credit,ATM,Delhi,POS,No
T00191,A00124,2025-04-09,47363,Credit,Card,Mumbai,Internet Banking,No
T00192,A00071,2025-03-01,98620,Debit,ATM,Delhi,Mobile App,No
T00193,A00361,2025-01-21,161849,Debit,Card,Kolkata,Mobile App,Yes
T00194,A00025,2024-08-03,6025,Credit,Net Banking,Chennai,Mobile App,No
T00195,A00358,2025-01-03,54689,Credit,Card,Bengaluru,POS,Yes
T00196,A00498,2025-04-07,176890,Credit,ATM,Hyderabad,Mobile App,Yes
T00197,A00388,2025-03-24,47975,Debit,UPI,Hyderabad,POS,Yes
T00198,A00279,2025-02-19,110375,Credit,ATM,Hyderabad,POS,No
T00199,A00290,2025-06-27,168279,Debit,UPI,Hyderabad,Mobile App,Yes
T00200,A00577,2025-05-02,164073,Credit,Net Banking,Delhi,Mobile App,No
T00201,A00468,2025-03-31,92668,Debit,ATM,Delhi,Mobile App,Yes
T00202,A00291,2024-10-19,82886,Credit,Net Banking,Kolkata,ATM,Yes
T00203,A00492,2024-12-12,24839,Credit,Net Banking,Chennai,ATM,Yes
T00204,A00008,2025-02-21,58990,Debit,UPI,Bengaluru,Internet Banking,Yes
T00205,A00052,2025-05-25,34322,Debit,Card,Delhi,ATM,Yes
T00206,A00002,2024-10-30,123392,Credit,Card,Mumbai,Mobile App,Yes
T00207,A00144,2024-10-08,107310,Credit,Net Banking,Hyderabad,POS,No
T00208,A00431,2025-01-20,20783,Debit,Net Banking,Hyderabad,ATM,Yes
T00209,A00575,2025-02-08,170898,Debit,UPI,Mumbai,POS,No
T00210,A00476,2025-02-27,122159,Debit,ATM,Mumbai,ATM,Yes
T00211,A00406,2024-11-14,158088,Credit,UPI,Delhi,ATM,Yes
T00212,A00314,2025-06-25,78771,Debit,UPI,Delhi,Mobile App,Yes
T00213,A00317,2024-08-19,188896,Credit,Net Banking,Hyderabad,POS,No
T00214,A00558,2025-02-23,146164,Credit,Net Banking,Bengaluru,Internet Banking,Yes
T00215,A00446,2025-02-03,6419,Credit,UPI,Chennai,POS,No
T00216,A00509,2025-01-08,177604,Credit,Net Banking,Mumbai,ATM,Yes
T00217,A00411,2025-01-17,35210,Debit,ATM,Bengaluru,POS,No
T00218,A00305,2025-04-09,70970,Debit,Card,Delhi,POS,No
T00219,A00587,2025-03-02,90525,Credit,Card,Kolkata,ATM,No
T00220,A00459,2025-01-09,181514,Credit,UPI,Bengaluru,Mobile App,Yes
T00221,A00461,2025-01-07,94233,Debit,Card,Delhi,ATM,No
T00222,A00317,2025-05-09,153282,Credit,Net Banking,Kolkata,Internet Banking,No
T00223,A00092,2024-09-07,141670,Debit,Net Banking,Bengaluru,POS,Yes
T00224,A00430,2025-06-08,92048,Debit,Card,Delhi,Mobile App,No
T00225,A00207,2025-02-21,29446,Debit,UPI,Chennai,Mobile App,Yes
T00226,A00395,2024-09-28,100308,Credit,UPI,Kolkata,Mobile App,No
T00227,A00356,2025-04-01,9813,Debit,Card,Hyderabad,Internet Banking,No
T00228,A00437,2024-10-20,34549,Credit,Net Banking,Kolkata,ATM,Yes
T00229,A00035,2024-09-13,27826,Credit,UPI,Delhi,ATM,No
T00230,A00264,2024-06-30,27966,Debit,ATM,Hyderabad,Internet Banking,No
T00231,A00339,2024-08-14,150825,Credit,ATM,Bengaluru,POS,Yes
T00232,A00034,2024-07-09,175058,Credit,ATM,Mumbai,ATM,Yes
T00233,A00024,2024-12-27,29051,Credit,UPI,Hyderabad,ATM,Yes
T00234,A00417,2025-02-27,83899,Debit,UPI,Mumbai,POS,Yes
T00235,A00251,2025-05-05,140877,Credit,Card,Chennai,Mobile App,Yes
T00236,A00362,2024-08-14,152521,Debit,UPI,Bengaluru,ATM,No
T00237,A00323,2025-04-12,23933,Credit,Card,Kolkata,ATM,No
T00238,A00226,2025-05-25,44855,Credit,Card,Delhi,ATM,No
T00239,A00482,2024-09-18,112787,Credit,Net Banking,Chennai,Mobile App,No
T00240,A00204,2025-05-06,141786,Debit,UPI,Delhi,Mobile App,No
T00241,A00039,2025-02-23,106164,Credit,UPI,Chennai,POS,No
T00242,A00396,2024-12-08,198660,Debit,ATM,Hyderabad,Internet Banking,Yes
T00243,A00279,2024-12-07,184418,Credit,ATM,Hyderabad,Internet Banking,Yes
T00244,A00579,2024-07-17,74951,Credit,Net Banking,Bengaluru,POS,No
T00245,A00437,2024-11-06,192122,Debit,Net Banking,Bengaluru,ATM,No
T00246,A00191,2024-11-12,159129,Credit,Net Banking,Bengaluru,Internet Banking,No
T00247,A00476,2025-02-02,140572,Credit,Net Banking,Bengaluru,ATM,No
T00248,A00452,2025-05-09,108529,Credit,Net Banking,Mumbai,POS,Yes
T00249,A00081,2025-03-04,67025,Credit,Net Banking,Bengaluru,Mobile App,No
T00250,A00113,2024-09-20,125658,Credit,Card,Hyderabad,ATM,No
T00251,A00580,2024-07-04,145852,Credit,UPI,Kolkata,Internet Banking,Yes
T00252,A00367,2025-03-05,112287,Debit,UPI,Mumbai,Mobile App,Yes
T00253,A00141,2024-09-16,134762,Credit,Card,Chennai,Internet Banking,Yes
T00254,A00583,2025-03-24,176906,Debit,Net Banking,Hyderabad,Internet Banking,No
T00255,A00390,2024-10-17,110541,Credit,Net Banking,Mumbai,ATM,No
T00256,A00229,2024-10-06,33366,Debit,Net Banking,Chennai,Mobile App,No
T00257,A00329,2025-05-02,56171,Credit,Net Banking,Delhi,Internet Banking,No
T00258,A00211,2024-07-26,121632,Credit,UPI,Bengaluru,Mobile App,Yes
T00259,A00051,2024-10-27,99549,Debit,Card,Mumbai,ATM,Yes
T00260,A00380,2024-10-24,15510,Credit,ATM,Mumbai,POS,Yes
T00261,A00478,2025-01-12,2635,Debit,Net Banking,Kolkata,Mobile App,Yes
T00262,A00009,2025-01-29,131224,Debit,UPI,Hyderabad,POS,Yes
T00263,A00184,2024-11-02,137861,Debit,UPI,Bengaluru,Mobile App,No
T00264,A00377,2025-04-23,70678,Credit,UPI,Bengaluru,Internet Banking,No
T00265,A00359,2024-07-02,81878,Credit,UPI,Bengaluru,Mobile App,Yes
T00266,A00113,2024-08-13,119686,Debit,UPI,Bengaluru,ATM,Yes
T00267,A00166,2025-03-23,67947,Debit,Net Banking,Hyderabad,ATM,No
T00268,A00542,2024-11-06,6295,Debit,Card,Delhi,Internet Banking,No
T00269,A00165,2024-11-09,134100,Credit,Card,Hyderabad,Mobile App,Yes
T00270,A00474,2024-11-30,196498,Credit,Net Banking,Kolkata,POS,Yes
T00271,A00424,2025-04-07,60582,Debit,Net Banking,Hyderabad,Internet Banking,No
T00272,A00212,2025-02-05,115003,Credit,UPI,Mumbai,Internet Banking,Yes
T00273,A00437,2025-02-24,172420,Credit,Net Banking,Kolkata,POS,Yes
T00274,A00307,2024-07-11,146242,Debit,Net Banking,Delhi,Internet Banking,Yes
T00275,A00241,2025-05-19,23318,Credit,Net Banking,Kolkata,POS,No
T00276,A00081,2024-09-06,148094,Debit,Card,Delhi,POS,No
T00277,A00322,2024-09-13,28814,Credit,Net Banking,Chennai,Internet Banking,No
T00278,A00297,2024-11-05,150016,Credit,ATM,Mumbai,Mobile App,Yes
T00279,A00538,2025-05-19,8627,Credit,UPI,Kolkata,Mobile App,Yes
T00280,A00574,2024-11-08,128732,Debit,Net Banking,Kolkata,Internet Banking,Yes
T00281,A00584,2025-06-23,76534,Credit,Net Banking,Delhi,Mobile App,No
T00282,A00344,2025-03-18,162553,Debit,Net Banking,Delhi,Internet Banking,No
T00283,A00403,2025-01-02,148802,Debit,Card,Kolkata,POS,No
T00284,A00358,2025-06-20,34343,Debit,Card,Bengaluru,POS,Yes
T00285,A00289,2024-12-31,22579,Credit,ATM,Kolkata,Internet Banking,Yes
T00286,A00424,2025-05-05,114704,Credit,Card,Mumbai,ATM,Yes
T00287,A00446,2024-07-13,78946,Credit,Card,Delhi,Mobile App,Yes
T00288,A00254,2025-03-07,11532,Debit,Net Banking,Mumbai,Mobile App,Yes
T00289,A00306,2024-08-21,13299,Debit,Net Banking,Hyderabad,POS,No
T00290,A00339,2025-01-02,105918,Debit,Card,Bengaluru,Internet Banking,No
T00291,A00269,2024-08-29,149857,Credit,Net Banking,Kolkata,Internet Banking,No
T00292,A00300,2025-02-28,193294,Credit,ATM,Bengaluru,POS,No
T00293,A00227,2024-12-25,190442,Credit,Card,Kolkata,ATM,Yes
T00294,A00315,2025-06-11,138796,Debit,Card,Hyderabad,ATM,Yes
T00295,A00264,2025-06-01,52948,Debit,ATM,Hyderabad,POS,No
T00296,A00075,2025-01-24,103132,Credit,ATM,Hyderabad,POS,Yes
T00297,A00313,2025-06-12,159465,Credit,UPI,Delhi,POS,No
T00298,A00125,2024-11-07,191560,Debit,Net Banking,Kolkata,Internet Banking,Yes
T00299,A00406,2024-12-26,164025,Debit,Card,Bengaluru,POS,No
T00300,A00584,2025-04-30,33617,Debit,ATM,Mumbai,ATM,No
T00301,A00251,2025-05-12,51842,Debit,ATM,Delhi,Mobile App,Yes
T00302,A00249,2024-12-07,85568,Credit,Net Banking,Kolkata,ATM,Yes
T00303,A00265,2025-06-25,60514,Credit,Card,Mumbai,POS,No
T00304,A00283,2025-04-14,73133,Credit,Net Banking,Chennai,Mobile App,No
T00305,A00593,2024-07-21,141744,Credit,UPI,Bengaluru,POS,No
T00306,A00462,2025-05-20,70620,Debit,Card,Chennai,ATM,No
T00307,A00292,2025-01-18,133757,Debit,Net Banking,Mumbai,ATM,No
T00308,A00232,2024-10-24,114669,Credit,ATM,Chennai,Mobile App,No
T00309,A00589,2025-02-04,70988,Credit,ATM,Hyderabad,Mobile App,No
T00310,A00277,2025-04-07,117815,Credit,ATM,Kolkata,Mobile App,No
T00311,A00420,2025-03-20,10342,Debit,Net Banking,Kolkata,ATM,No
T00312,A00271,2024-10-30,132265,Credit,Card,Delhi,POS,Yes
T00313,A00018,2025-01-31,41445,Debit,Card,Mumbai,Mobile App,No
T00314,A00539,2025-01-24,30841,Credit,Net Banking,Chennai,Internet Banking,Yes
T00315,A00575,2024-07-07,58820,Credit,ATM,Chennai,POS,Yes
T00316,A00176,2024-09-18,150592,Debit,Net Banking,Mumbai,Internet Banking,No
T00317,A00150,2025-02-09,138455,Credit,Card,Kolkata,POS,Yes
T00318,A00230,2025-03-23,107636,Debit,ATM,Chennai,Mobile App,Yes
T00319,A00049,2024-11-05,83608,Credit,UPI,Delhi,Mobile App,Yes
T00320,A00337,2025-05-06,72011,Debit,Card,Mumbai,ATM,No
T00321,A00513,2025-06-20,113265,Credit,Net Banking,Chennai,Mobile App,No
T00322,A00431,2025-06-09,49249,Credit,ATM,Kolkata,ATM,Yes
T00323,A00132,2025-05-05,38906,Debit,ATM,Delhi,Internet Banking,Yes
T00324,A00489,2024-11-14,187379,Credit,Card,Mumbai,Mobile App,No
T00325,A00224,2024-07-25,2650,Credit,Card,Delhi,Internet Banking,No
T00326,A00590,2024-08-26,44185,Debit,UPI,Chennai,Internet Banking,Yes
T00327,A00546,2024-10-16,17380,Credit,Card,Chennai,ATM,No
T00328,A00535,2025-05-22,43746,Debit,ATM,Bengaluru,ATM,No
T00329,A00597,2024-07-12,52345,Debit,ATM,Mumbai,Internet Banking,No
T00330,A00277,2024-11-08,194998,Debit,Net Banking,Kolkata,Internet Banking,Yes
T00331,A00103,2024-11-22,190640,Credit,Card,Hyderabad,Mobile App,Yes
T00332,A00256,2025-02-28,128987,Debit,Net Banking,Kolkata,Mobile App,Yes
T00333,A00162,2025-01-23,180014,Credit,UPI,Mumbai,Internet Banking,No
T00334,A00107,2025-05-23,194753,Credit,ATM,Bengaluru,POS,Yes
T00335,A00009,2024-09-02,38998,Debit,ATM,Bengaluru,Mobile App,Yes
T00336,A00585,2025-02-06,3912,Credit,Card,Mumbai,Internet Banking,Yes
T00337,A00457,2025-02-20,94282,Credit,UPI,Hyderabad,ATM,No
T00338,A00133,2024-11-28,86306,Debit,Card,Bengaluru,Internet Banking,Yes
T00339,A00063,2024-09-10,490,Credit,ATM,Hyderabad,POS,No
T00340,A00178,2025-02-16,54661,Credit,Card,Chennai,ATM,Yes
T00341,A00118,2024-08-14,199686,Debit,Net Banking,Chennai,ATM,Yes
T00342,A00491,2025-05-31,57196,Debit,Net Banking,Chennai,Internet Banking,No
